127.0.0.1 - - [18/Dec/2019:19:42:35 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Dec/2019:19:42:52 +0900] "GET /HelloJSP/ HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [18/Dec/2019:19:47:37 +0900] "GET /HelloJSP/ HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [18/Dec/2019:19:50:58 +0900] "GET /HelloJSP/ HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [18/Dec/2019:19:56:23 +0900] "GET /HelloJSP/ HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:11:47 +0900] "GET /HelloJSP/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:12:10 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:34:30 +0900] "GET /HelloJSP/ HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:38:18 +0900] "GET /HelloJSP/ HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:39:53 +0900] "GET /HelloJSP/ HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:40:25 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:41:24 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3136
0:0:0:0:0:0:0:1 - - [18/Dec/2019:20:49:20 +0900] "GET /HelloJSP/ HTTP/1.1" 200 760
